,Pozitif_yazi,Pozitif_sonuc
0, jackwel5  crypto invasion  sec enforcement  know seb bank  lt  bank   sweden  tested   ready  use ripplenet xrp  cross border payments      bank    akbank  turkey uses xrp   euro transfers   drug   using  man ,"Sentiment(polarity=0.03333333333333333, subjectivity=0.3666666666666667)"
1,https  co cbpotupewm hot forex pamm account continues  win   join pamm account    usd  right   win directory  eurusd  gbpusd  dax  nasdaq100  sp500  onsaltin  usdtry  akbank https  co rbzvuhpalq,"Sentiment(polarity=0.5339285714285715, subjectivity=0.5464285714285714)"
2, youranonnews  akbank hahaha    think  ,"Sentiment(polarity=0.2, subjectivity=0.4)"
3,  aware  god  wrath  sin  unbearable   thevergeofeternity  repentslovakia  covid19  akbank   haiti,"Sentiment(polarity=0.25, subjectivity=0.25)"
4, quick thread   turkish      manage communications   crisis   case  akbank  turkey,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)"
5, umit tc  cyberthint  akbank u noob cause    csv file      many rows   want,"Sentiment(polarity=0.5, subjectivity=0.5)"
6, express  sorrow   akbank   former colleagues    troubles  experienced   days     difficult  install  operate  maintain  large  systems   believe    come    problem stronger   akbank,"Sentiment(polarity=0.1285714285714286, subjectivity=0.5821428571428571)"
7,surprising american islands     north america https  co su2adw3khn  cubs  chicago  itscominghome  jisoo  ayraz  america  akbank  books  writingcommunity  xrp  england  win  ffxiv  shibainu  chinazi  tdf2021  safemoon  justiciaparasamuel  wimbledon  feg https  co aujiyq3x5r,"Sentiment(polarity=0.5, subjectivity=0.3)"
8,bodies  two children found   scene   building collapse  south florida https  co zmvbxwzoky  cubs  chicago  itscominghome  jisoo  ayraz  america  akbank  books  writingcommunity  england  win  ffxiv  shibainu  chinazi  safemoon  justiciaparasamuel  wimbledon https  co l4oeh8swy9,"Sentiment(polarity=0.8, subjectivity=0.4)"
9, eeriest abandoned castles   world https  co i49mb9oflt  cubs  chicago  itscominghome  jisoo  ayraz  america  akbank  books  writingcommunity  england  win  ffxiv  shibainu  shibacoin  chinazi  windows11  safemoon  savemacgyver  justiciaparasamuel  wimbledon https  co hjjyaq0ydm,"Sentiment(polarity=0.8, subjectivity=0.4)"
10,     one   surprised    happening  akbank  many companies  prefer junior employees   pay  ridiculous sums      month  real specialists either spend less       time   jobs   work remotely  foreign companies ,"Sentiment(polarity=0.029166666666666674, subjectivity=0.4819444444444445)"
11,man  must suck    developers  akbank right  ,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
12, umit tc  cyberthint  akbank    data  split  multiple excel files  also  limit might  exceeded   data  exported  third party software        sure tho ,"Sentiment(polarity=0.16666666666666666, subjectivity=0.2962962962962963)"
13, latest akbank case  showed us    good devs  already  migrated abroad   leftovers  basically  children   playing   sandbox ,"Sentiment(polarity=0.6, subjectivity=0.75)"
14,  akbank publish  postmortem   technical issues        great resource  learn    whole company   even public given  impact  let  hope  precautions  taken     happen   cheers   engineers worked tirelessly ,"Sentiment(polarity=0.25, subjectivity=0.32916666666666666)"
15,https  co cbpotupewm hot forex pamm account continues  win   join pamm account    usd  right   win directory  eurusd  gbpusd  dax  nasdaq100  sp500  onsaltin  usdtry  akbank https  co 6ag3l3l3qs,"Sentiment(polarity=0.5339285714285715, subjectivity=0.5464285714285714)"
